fips,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16,case17,case18,case19,case20,case21,case22,case23,case24,case25,case26,case27,case28,case29,case30,case31,case32,case33,case34,case35,case36,case37,death0,death1,death2,death3,death4,death5,death6,death7,death8,death9,death10,death11,death12,death13,death14,death15,death16,death17,death18,death19,death20,death21,death22,death23,death24,death25,death26,death27,death28,death29,death30,death31,death32,death33,death34,death35,death36,death37,total_case,total_death
01021,15.0,16.0,10.0,11.0,4.0,14.0,11.0,9.0,14.0,11.0,23.0,27.0,35.0,51.0,86.0,132.0,134.0,128.0,103.0,72.0,92.0,169.0,111.0,106.0,90.0,105.0,66.0,74.0,70.0,96.0,66.0,58.0,59.0,76.0,90.0,138.0,155.0,149.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,13.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,2676,49
01023,5.0,6.0,5.0,9.0,25.0,12.0,22.0,55.0,11.0,4.0,20.0,9.0,6.0,7.0,21.0,21.0,21.0,17.0,9.0,12.0,16.0,10.0,6.0,6.0,4.0,10.0,15.0,10.0,10.0,7.0,4.0,12.0,3.0,6.0,6.0,16.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,473,21
01025,7.0,8.0,6.0,3.0,13.0,14.0,23.0,23.0,45.0,13.0,31.0,26.0,36.0,16.0,44.0,68.0,59.0,60.0,184.0,180.0,65.0,53.0,29.0,21.0,11.0,46.0,60.0,71.0,43.0,90.0,55.0,40.0,52.0,52.0,37.0,76.0,373.0,141.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,2174,24
01027,9.0,3.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,30.0,16.0,31.0,50.0,48.0,43.0,49.0,20.0,43.0,48.0,59.0,61.0,49.0,27.0,37.0,57.0,42.0,31.0,41.0,30.0,38.0,36.0,37.0,42.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,1.0,3.0,1.0,1.0,1052,29
01029,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,11.0,8.0,34.0,16.0,20.0,14.0,12.0,56.0,28.0,49.0,64.0,29.0,28.0,36.0,39.0,52.0,48.0,23.0,35.0,33.0,81.0,32.0,47.0,59.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,943,15
01031,8.0,14.0,37.0,29.0,30.0,25.0,18.0,32.0,38.0,14.0,36.0,27.0,27.0,39.0,50.0,108.0,113.0,72.0,81.0,48.0,144.0,78.0,58.0,78.0,63.0,83.0,104.0,75.0,97.0,141.0,108.0,109.0,171.0,126.0,173.0,183.0,249.0,269.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,8.0,2.0,6.0,3155,31
01033,6.0,7.0,6.0,7.0,15.0,25.0,27.0,33.0,56.0,32.0,42.0,42.0,52.0,53.0,112.0,223.0,148.0,203.0,110.0,85.0,74.0,89.0,51.0,35.0,64.0,62.0,68.0,86.0,77.0,129.0,284.0,156.0,248.0,216.0,196.0,397.0,290.0,284.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,5.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,5.0,3.0,1.0,7.0,4.0,3.0,4090,56
01035,1.0,2.0,6.0,0.0,0.0,4.0,6.0,5.0,16.0,11.0,47.0,42.0,26.0,45.0,21.0,52.0,52.0,45.0,34.0,16.0,27.0,23.0,12.0,15.0,12.0,12.0,5.0,9.0,8.0,8.0,16.0,27.0,34.0,29.0,16.0,51.0,41.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,805,16
01037,5.0,5.0,15.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,6.0,3.0,5.0,4.0,9.0,6.0,10.0,14.0,16.0,7.0,11.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,9.0,7.0,19.0,9.0,29.0,37.0,40.0,49.0,37.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,454,6
01039,5.0,7.0,13.0,11.0,10.0,7.0,8.0,6.0,15.0,10.0,75.0,55.0,69.0,63.0,75.0,130.0,135.0,99.0,67.0,56.0,94.0,61.0,89.0,65.0,67.0,97.0,76.0,89.0,84.0,101.0,148.0,53.0,82.0,94.0,73.0,169.0,159.0,182.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,2699,38
01041,2.0,1.0,2.0,7.0,11.0,17.0,16.0,8.0,18.0,9.0,25.0,6.0,7.0,3.0,8.0,23.0,76.0,66.0,38.0,48.0,39.0,35.0,19.0,22.0,16.0,18.0,7.0,21.0,20.0,18.0,15.0,22.0,28.0,29.0,11.0,30.0,30.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,13.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,829,33
01043,15.0,16.0,14.0,8.0,6.0,6.0,6.0,5.0,60.0,61.0,72.0,38.0,69.0,81.0,151.0,189.0,164.0,198.0,125.0,66.0,146.0,100.0,59.0,74.0,82.0,67.0,63.0,95.0,193.0,241.0,351.0,369.0,461.0,414.0,329.0,591.0,648.0,608.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0,6.0,10.0,6241,69
01045,2.0,6.0,10.0,6.0,3.0,16.0,18.0,22.0,30.0,18.0,41.0,30.0,27.0,59.0,101.0,118.0,168.0,100.0,67.0,47.0,117.0,65.0,75.0,82.0,80.0,70.0,116.0,44.0,72.0,147.0,167.0,117.0,116.0,85.0,84.0,184.0,238.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,5.0,6.0,7.0,1.0,5.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2990,59
01047,7.0,2.0,7.0,11.0,18.0,56.0,44.0,48.0,72.0,59.0,163.0,137.0,116.0,127.0,129.0,135.0,105.0,104.0,57.0,65.0,54.0,77.0,55.0,51.0,31.0,46.0,19.0,27.0,16.0,22.0,46.0,78.0,71.0,133.0,74.0,116.0,109.0,107.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2594,36
01049,13.0,8.0,20.0,20.0,13.0,66.0,52.0,27.0,27.0,26.0,51.0,95.0,130.0,178.0,244.0,319.0,220.0,193.0,172.0,86.0,106.0,82.0,69.0,51.0,74.0,81.0,183.0,234.0,291.0,289.0,266.0,203.0,286.0,402.0,278.0,427.0,503.0,575.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,7.0,6.0,2.0,6360,51
01051,19.0,12.0,26.0,20.0,19.0,39.0,52.0,63.0,89.0,68.0,113.0,130.0,120.0,127.0,145.0,201.0,211.0,154.0,158.0,115.0,121.0,154.0,123.0,126.0,123.0,126.0,155.0,129.0,132.0,124.0,110.0,144.0,176.0,261.0,183.0,378.0,463.0,563.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,6.0,7.0,7.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,6.0,0.0,2.0,0.0,3.0,6.0,2.0,8.0,5472,80
01053,1.0,6.0,5.0,9.0,7.0,8.0,3.0,1.0,17.0,28.0,19.0,46.0,71.0,126.0,132.0,153.0,220.0,167.0,158.0,52.0,89.0,75.0,50.0,63.0,39.0,52.0,45.0,38.0,23.0,24.0,44.0,55.0,43.0,71.0,43.0,113.0,162.0,121.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2379,33
01055,27.0,46.0,18.0,29.0,18.0,25.0,34.0,29.0,20.0,23.0,55.0,75.0,166.0,179.0,259.0,306.0,330.0,314.0,212.0,170.0,261.0,174.0,245.0,136.0,154.0,163.0,173.0,132.0,197.0,295.0,257.0,361.0,407.0,510.0,476.0,892.0,751.0,904.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,7.0,3.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,10.0,2.0,8823,82
01057,1.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,27.0,14.0,9.0,8.0,17.0,38.0,22.0,35.0,44.0,39.0,39.0,22.0,33.0,47.0,20.0,38.0,20.0,26.0,28.0,36.0,31.0,53.0,61.0,91.0,98.0,129.0,115.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1294,18
