fips,65yrs,minority,black,hispanic,population,perc_65yrs,perc_minority,perc_black,perc_hispanic,poverty,perc_poverty,income,risk_flu,perc_rural_pop,perc_urban_pop
01093,6389,1770,1147,800,29709,0.215053,0.059578,0.038608,0.026928,5844,20.200000,37887,-0.622870,88.900000,11.100000
01095,16750,6960,3078,14272,96774,0.173084,0.071920,0.031806,0.147478,17341,18.300000,46233,-0.404170,53.300000,46.700000
01097,68742,169365,149709,12443,413210,0.166361,0.409876,0.362307,0.030113,84539,20.800000,43598,-0.273960,20.000000,80.000000
01099,4385,9256,8496,347,20733,0.211499,0.446438,0.409782,0.016737,4560,21.900000,39556,-0.731930,79.000000,21.000000
01101,35281,146064,134356,8344,226486,0.155776,0.644914,0.593220,0.036841,43567,20.100000,49640,-0.230380,10.500000,89.500000
01103,21341,20565,15665,10466,119679,0.178319,0.171835,0.130892,0.087451,15419,13.200000,52797,-0.351640,38.600000,61.400000
01105,1795,6225,6063,144,8923,0.201166,0.697635,0.679480,0.016138,2943,35.300000,26814,-0.699100,100.000000,0.000000
01107,3886,8362,7965,1044,19930,0.194982,0.419568,0.399649,0.052383,4177,23.100000,37586,-0.594300,100.000000,0.000000
01109,5031,14078,12529,802,33114,0.151930,0.425137,0.378360,0.024219,7315,23.600000,37259,-0.533730,51.700000,48.300000
01111,4741,5003,4370,682,22722,0.208652,0.220183,0.192325,0.030015,4375,19.700000,40546,-0.589470,81.300000,18.700000
01113,8589,29015,26364,3378,57961,0.148186,0.500595,0.454858,0.058281,12384,21.700000,39104,-0.500750,35.400000,64.600000
01115,15083,11203,8650,2185,89512,0.168503,0.125156,0.096635,0.024410,10432,12.000000,57284,-0.403120,72.800000,27.200000
01117,34724,38013,28997,12635,217702,0.159502,0.174610,0.133196,0.058038,16916,8.000000,75663,-0.330310,22.900000,77.100000
01119,2325,9240,8873,149,12427,0.187093,0.743542,0.714010,0.011990,4076,34.700000,27859,-0.730390,100.000000,0.000000
01121,14769,28736,26411,1913,79978,0.184663,0.359299,0.330228,0.023919,14825,19.300000,41630,-0.510400,55.800000,44.200000
01123,8987,11895,10901,1021,40367,0.222632,0.294671,0.270047,0.025293,7839,19.700000,42205,-0.557980,74.200000,25.800000
01125,28789,74914,67865,8308,209355,0.137513,0.357832,0.324162,0.039684,33330,16.800000,52557,-0.336170,25.500000,74.500000
01127,12409,5761,3934,1681,63521,0.195353,0.090694,0.061932,0.026464,11231,17.900000,45434,-0.494120,74.100000,25.900000
01129,3219,5550,3804,264,16326,0.197170,0.339949,0.233003,0.016171,2846,17.600000,44424,-0.618270,100.000000,0.000000
01131,2105,7505,7371,149,10373,0.202931,0.723513,0.710595,0.014364,3504,33.400000,25385,-0.781420,100.000000,0.000000
01133,5167,967,236,781,23629,0.218672,0.040924,0.009988,0.033053,4338,18.600000,41156,-0.561660,84.900000,15.100000
02016,419,3722,398,787,5634,0.074370,0.660632,0.070643,0.139688,550,10.000000,82633,-0.989330,100.000000,0.000000
02020,33757,104330,17195,26992,288000,0.117212,0.362257,0.059705,0.093722,27075,9.500000,82113,-0.309620,4.100000,95.900000
02050,1448,16494,175,503,18386,0.078756,0.897096,0.009518,0.027358,5869,32.700000,44304,-0.966040,73.900000,26.100000
02068,238,358,43,80,2097,0.113495,0.170720,0.020505,0.038150,135,6.900000,75477,-1.035170,100.000000,0.000000
02070,494,4140,40,182,4916,0.100488,0.842148,0.008137,0.037022,1091,22.000000,54524,-1.035170,100.000000,0.000000
02090,10828,23619,5148,7938,96849,0.111803,0.243874,0.053155,0.081963,8104,8.600000,74268,-0.667460,30.900000,69.100000
02122,10775,9818,474,2506,58708,0.183535,0.167234,0.008074,0.042686,7103,12.400000,65439,-0.591290,79.300000,20.700000
02150,1476,5855,169,1123,12998,0.113556,0.450454,0.013002,0.086398,1073,8.200000,74109,-0.901240,31.300000,68.700000
02164,183,1215,20,55,1592,0.114950,0.763191,0.012563,0.034548,288,18.200000,49403,-1.035140,100.000000,0.000000
02170,13755,18942,1448,5613,108317,0.126988,0.174876,0.013368,0.051820,10937,10.400000,74649,-0.531130,50.300000,49.700000
02180,803,8435,86,288,10004,0.080268,0.843163,0.008597,0.028788,2168,22.000000,55318,-1.035140,66.100000,33.900000
02185,736,6620,161,426,9832,0.074858,0.673312,0.016375,0.043328,1094,11.100000,89276,-1.006190,59.300000,40.700000
02188,557,6732,135,281,7621,0.073088,0.883349,0.017714,0.036872,1604,21.100000,59337,-0.627043,57.500000,42.500000
02240,1078,1558,146,482,6893,0.156391,0.226026,0.021181,0.069926,918,13.400000,63527,-0.991890,100.000000,0.000000
02261,1328,2560,94,518,9202,0.144316,0.278200,0.010215,0.056292,880,9.700000,68528,-0.853720,100.000000,0.000000
02290,822,3999,51,164,5230,0.157170,0.764627,0.009751,0.031358,1259,23.700000,38912,-1.047310,100.000000,0.000000
04001,11334,55874,404,4736,71887,0.157664,0.777248,0.005620,0.065881,26435,37.300000,33652,-0.844160,74.100000,25.900000
04003,29118,15457,5676,44988,125922,0.231238,0.122751,0.045076,0.357269,18273,15.100000,49164,-0.571030,36.300000,63.700000
04005,18662,49157,2180,20542,143476,0.130071,0.342615,0.015194,0.143174,20964,15.900000,60187,-0.625060,31.500000,68.500000
04007,15869,11761,441,10216,54018,0.293772,0.217724,0.008164,0.189122,10804,20.400000,43585,-0.593050,41.100000,58.900000
04009,5440,7122,730,12879,38837,0.140073,0.183382,0.018797,0.331617,7118,20.200000,50157,-0.592990,46.400000,53.600000
04011,1297,938,202,4526,9498,0.136555,0.098758,0.021268,0.476521,985,10.500000,65818,-0.681710,46.600000,53.400000
04012,8392,4924,254,5982,21108,0.397574,0.233276,0.012033,0.283400,4921,23.700000,37350,-0.933900,56.300000,43.700000
04013,696331,771518,286319,1408855,4485414,0.155243,0.172006,0.063833,0.314097,535183,12.300000,65234,-0.156020,2.400000,97.600000
04015,65910,17580,2803,35919,212181,0.310631,0.082854,0.013210,0.169285,34411,16.800000,45129,-0.378520,23.000000,77.000000
04017,20829,55038,1109,12742,110924,0.187777,0.496178,0.009998,0.114871,30876,28.500000,40650,-0.642550,54.100000,45.900000
04019,212554,159023,43874,395446,1047279,0.202958,0.151844,0.041893,0.377594,164927,16.200000,53395,-0.295700,7.500000,92.500000
04021,96566,80210,24775,142276,462789,0.208661,0.173319,0.053534,0.307432,54399,12.900000,58848,-0.339330,21.900000,78.100000
04023,8591,2098,460,38711,46498,0.184761,0.045120,0.009893,0.832530,11287,24.400000,40545,-0.811850,26.900000,73.100000
04025,76438,15821,2124,34641,235099,0.325131,0.067295,0.009034,0.147346,30060,13.200000,48758,-0.575580,33.200000,66.800000
04027,41302,18754,5646,138131,213787,0.193192,0.087723,0.026409,0.646115,39648,19.500000,44116,-0.504060,10.400000,89.600000
05001,3551,4937,4387,602,17486,0.203077,0.282340,0.250886,0.034428,3120,17.900000,43887,-0.776390,34.700000,65.300000
05003,4116,5336,4853,1119,19657,0.209391,0.271455,0.246884,0.056926,3876,19.600000,41127,-0.568900,51.700000,48.300000
05005,13058,1454,196,1102,41932,0.311409,0.034675,0.004674,0.026281,6216,15.100000,39686,-0.740440,65.800000,34.200000
05007,37902,32156,5753,47630,279141,0.135781,0.115196,0.020610,0.170631,23290,8.600000,68978,-0.279720,25.200000,74.800000
05009,7841,1508,178,988,37432,0.209473,0.040286,0.004755,0.026395,5472,14.800000,44482,-0.535920,62.200000,37.800000
05011,2070,3357,2944,1716,10763,0.192326,0.311902,0.273530,0.159435,2329,21.700000,37729,-0.831340,49.600000,50.400000
05013,1139,1269,1099,214,5189,0.219503,0.244556,0.211794,0.041241,800,15.700000,44969,-0.857650,100.000000,0.000000
05015,6772,2235,238,4306,28380,0.238619,0.078753,0.008386,0.151727,4499,16.100000,45023,-0.652870,72.800000,27.200000
05017,2136,5769,5525,600,10118,0.211109,0.570172,0.546057,0.059300,3039,31.400000,31787,-0.894740,54.300000,45.700000
05019,3753,6161,5492,1075,22320,0.168145,0.276030,0.246057,0.048163,3838,19.900000,45408,-0.697000,54.400000,45.600000
05021,3182,459,124,320,14551,0.218679,0.031544,0.008522,0.021992,3035,20.700000,37687,-0.752060,58.900000,41.100000
05023,6790,871,117,611,24919,0.272483,0.034953,0.004695,0.024519,3573,14.600000,44902,-0.691840,75.500000,24.500000
05025,1705,1092,918,197,7956,0.214304,0.137255,0.115385,0.024761,1232,15.500000,47600,-0.794710,100.000000,0.000000
05027,4160,9044,8361,659,23457,0.177346,0.385557,0.356439,0.028094,4799,22.400000,40909,-0.560190,57.500000,42.500000
05029,4113,3170,2381,836,20846,0.197304,0.152068,0.114219,0.040104,3693,17.900000,44565,-0.680610,70.500000,29.500000
05031,15424,22650,18509,5793,110332,0.139796,0.205289,0.167757,0.052505,18768,17.900000,45615,-0.520190,32.200000,67.800000
05033,10849,5873,1099,5131,63257,0.171507,0.092843,0.017374,0.081114,10027,16.000000,47363,-0.468250,52.000000,48.000000
05035,6960,27341,26147,1331,47955,0.145136,0.570139,0.545240,0.027755,9056,19.200000,42606,-0.515590,20.900000,79.100000
05037,3167,4272,3805,328,16419,0.192886,0.260186,0.231744,0.019977,2940,18.000000,41214,-0.616590,56.800000,43.200000
05039,1710,3048,2839,271,7009,0.243972,0.434869,0.405051,0.038665,1442,21.300000,37259,-0.726100,52.600000,47.400000
05041,2227,5754,5442,731,11361,0.196021,0.506470,0.479007,0.064343,2780,24.300000,36132,-0.836020,31.400000,68.600000
05043,3316,5590,5120,684,18219,0.182008,0.306823,0.281025,0.037543,3391,19.500000,42494,-0.683680,48.600000,51.400000
05045,16195,20679,15376,5277,126007,0.128525,0.164110,0.122025,0.041879,18571,15.400000,53882,-0.426600,38.800000,61.200000
05047,3534,996,164,574,17715,0.199492,0.056224,0.009258,0.032402,3202,18.300000,43696,-0.678790,82.600000,17.400000
05049,3249,495,88,215,12477,0.260399,0.039673,0.007053,0.017232,2481,20.600000,35630,-0.888070,92.900000,7.100000
05051,24144,12950,8699,5900,99386,0.242932,0.130300,0.087527,0.059364,19844,20.400000,43610,-0.588550,36.900000,63.100000
05053,3372,973,491,552,18265,0.184615,0.053271,0.026882,0.030222,2353,13.100000,52050,-0.767230,75.000000,25.000000
05055,7372,2157,825,1343,45325,0.162648,0.047590,0.018202,0.029630,7361,16.500000,46512,-0.510510,41.500000,58.500000
05057,3982,7376,6557,2864,21532,0.184934,0.342560,0.304523,0.133011,4424,20.600000,38682,-0.655170,55.800000,44.200000
05059,6531,4916,3827,1245,33771,0.193391,0.145569,0.113322,0.036866,5844,18.700000,47205,-0.620020,66.000000,34.000000
05061,2386,3301,2783,1738,13202,0.180730,0.250038,0.210801,0.131647,2271,17.300000,40199,-0.734090,67.500000,32.500000
05063,6791,2347,930,2514,37825,0.179537,0.062049,0.024587,0.066464,5302,14.500000,45596,-0.605350,68.600000,31.400000
05065,3558,677,294,346,13629,0.261061,0.049673,0.021572,0.025387,2358,18.700000,37828,-0.853540,100.000000,0.000000
05067,3055,3472,2904,503,16719,0.182726,0.207668,0.173695,0.030086,3732,25.600000,36573,-0.700960,65.100000,34.900000
05069,12014,40213,38354,1473,66824,0.179786,0.601775,0.573955,0.022043,13900,22.200000,38596,-0.610810,30.900000,69.100000
05071,4485,2233,583,3791,26578,0.168749,0.084017,0.021935,0.142637,5761,22.200000,39381,-0.654140,71.400000,28.600000
05073,1637,2569,2404,195,6624,0.247132,0.387832,0.362923,0.029438,1498,22.800000,35527,-0.816840,100.000000,0.000000
05075,3268,576,199,292,16406,0.199195,0.035109,0.012130,0.017798,2776,17.700000,40308,-0.793310,63.600000,36.400000
05077,1787,5044,4817,206,8857,0.201761,0.569493,0.543864,0.023258,3098,43.000000,28080,-0.892940,63.500000,36.500000
05079,2070,4226,3911,542,13024,0.158937,0.324478,0.300292,0.041615,2647,27.500000,44951,-0.825360,100.000000,0.000000
05081,2567,3009,2434,457,12259,0.209397,0.245452,0.198548,0.037279,1942,16.000000,43559,-0.724360,68.500000,31.500000
05083,4396,1470,318,651,21466,0.204789,0.068480,0.014814,0.030327,3950,18.600000,41471,-0.647210,71.000000,29.000000
05085,10116,7490,4652,3350,73309,0.137991,0.102170,0.063457,0.045697,8651,11.900000,56651,-0.610360,44.800000,55.200000
05087,3211,972,151,977,16576,0.193714,0.058639,0.009110,0.058941,3002,18.400000,42674,-0.743650,100.000000,0.000000
05089,4858,743,101,408,16694,0.291003,0.044507,0.006050,0.024440,3082,18.700000,36581,-0.716480,100.000000,0.000000
05091,7440,12483,10975,1552,43257,0.171995,0.288578,0.253716,0.035879,9228,21.900000,42162,-0.550590,40.000000,60.000000
05093,6116,15528,14478,1791,40651,0.150451,0.381983,0.356154,0.044058,10325,25.700000,36718,-0.601070,36.300000,63.700000
05095,1612,2941,2692,174,6701,0.240561,0.438890,0.401731,0.025966,1769,26.000000,32922,-0.790450,69.000000,31.000000
05097,2426,540,72,407,8986,0.269976,0.060093,0.008012,0.045293,1649,18.800000,38318,-0.984120,100.000000,0.000000
05099,1732,2769,2546,389,8252,0.209889,0.335555,0.308531,0.047140,1738,21.300000,37626,-0.742020,69.200000,30.800000
05101,2112,369,38,151,7753,0.272411,0.047594,0.004901,0.019476,1340,17.400000,36078,-0.866260,100.000000,0.000000
05103,4933,10161,9387,598,23382,0.210974,0.434565,0.401463,0.025575,5410,23.300000,37624,-0.685730,56.300000,43.700000
05105,2142,574,212,324,10455,0.204878,0.054902,0.020277,0.030990,1502,14.700000,45342,-0.794110,100.000000,0.000000
05107,3468,11481,11074,354,17782,0.195029,0.645653,0.622765,0.019908,6301,35.400000,29945,-0.842930,48.000000,52.000000
05109,2195,802,371,706,10718,0.204796,0.074827,0.034615,0.065870,1856,17.800000,41534,-0.784360,100.000000,0.000000
05111,4321,2562,1958,782,23528,0.183654,0.108892,0.083220,0.033237,5592,23.700000,37370,-0.682740,71.100000,28.900000
05113,4717,1240,124,1314,19964,0.236275,0.062112,0.006211,0.065818,3962,20.000000,39048,-0.764740,73.400000,26.600000
05115,10361,5073,2137,6152,64072,0.161709,0.079177,0.033353,0.096017,9647,16.000000,45788,-0.551100,54.500000,45.500000
05117,1928,1088,920,161,8062,0.239147,0.134954,0.114116,0.019970,1254,15.800000,43245,-0.809490,100.000000,0.000000
05119,63023,167915,148345,24493,391911,0.160809,0.428452,0.378517,0.062496,64312,16.700000,49957,-0.378380,12.300000,87.700000
05121,3545,1024,212,402,17958,0.197405,0.057022,0.011805,0.022386,3050,17.400000,37799,-0.662230,67.400000,32.600000
05123,4208,13998,13207,1368,24994,0.168360,0.560054,0.528407,0.054733,7586,35.600000,33257,-0.650680,51.600000,48.400000
05125,22227,14771,10321,6292,122437,0.181538,0.120642,0.084296,0.051390,11695,9.700000,63677,-0.559130,36.200000,63.800000
05127,2205,911,68,816,10281,0.214473,0.088610,0.006614,0.079370,2054,20.200000,35826,-0.709150,70.400000,29.600000
05129,2048,394,40,224,7881,0.259865,0.049994,0.005075,0.028423,1912,24.300000,31659,-0.958820,100.000000,0.000000
05131,20986,23234,8944,18863,127827,0.164175,0.181761,0.069970,0.147567,19527,15.600000,46843,-0.409980,20.800000,79.200000
05133,2542,2080,714,5829,17007,0.149468,0.122303,0.041983,0.342741,3402,20.100000,44100,-0.686880,63.600000,36.400000
05135,4604,862,178,450,17442,0.263961,0.049421,0.010205,0.025800,3541,20.700000,36032,-0.855090,80.100000,19.900000
05137,3489,469,56,238,12506,0.278986,0.037502,0.004478,0.019031,2497,20.300000,34009,-0.878980,100.000000,0.000000
05139,7119,13916,12765,1611,38682,0.184039,0.359754,0.329998,0.041647,7000,18.200000,45335,-0.645810,54.500000,45.500000
05141,4416,672,102,522,16545,0.266908,0.040617,0.006165,0.031550,2685,16.400000,40486,-0.750700,100.000000,0.000000
05143,28919,32752,8974,40999,239187,0.120905,0.136931,0.037519,0.171410,34741,15.200000,50893,-0.322760,25.500000,74.500000
05145,13195,6548,3640,3501,78753,0.167549,0.083146,0.046220,0.044455,12505,16.600000,44811,-0.591870,54.300000,45.700000
05147,1476,1848,1653,140,6320,0.233544,0.292405,0.261551,0.022152,1509,23.700000,34306,-0.810040,100.000000,0.000000
05149,3858,1311,456,4371,21341,0.180779,0.061431,0.021367,0.204817,3453,16.300000,41729,-0.662130,79.100000,20.900000
06001,238763,847736,184368,373055,1671329,0.142858,0.507223,0.110312,0.223209,147394,9.000000,101744,-0.188970,0.400000,99.600000
06003,298,362,4,139,1129,0.263950,0.320638,0.003543,0.123118,190,17.300000,55384,-0.948980,100.000000,0.000000
06005,10945,4116,1066,5753,39752,0.275332,0.103542,0.026816,0.144722,4130,11.800000,58515,-0.521420,60.400000,39.600000
06007,40228,31444,4158,37731,219186,0.183534,0.143458,0.018970,0.172141,42016,18.500000,50945,-0.308280,18.900000,81.100000
06009,12866,4153,498,5967,45905,0.280274,0.090469,0.010848,0.129986,5454,12.100000,62984,-0.609740,75.400000,24.600000
06011,3214,1917,282,13018,21547,0.149162,0.088968,0.013088,0.604168,2350,11.000000,57249,-0.633690,31.700000,68.300000
06013,187704,402243,110064,300420,1153526,0.162722,0.348707,0.095415,0.260436,88980,7.800000,101463,-0.175410,0.800000,99.200000
06015,5123,6092,980,5596,27812,0.184201,0.219042,0.035237,0.201208,5065,20.400000,48518,-0.515200,33.700000,66.300000
06017,42304,21907,2000,25378,192843,0.219370,0.113600,0.010371,0.131599,15401,8.100000,81869,-0.289550,34.700000,65.300000
06019,125435,233899,57976,537180,999101,0.125548,0.234109,0.058028,0.537663,208627,21.300000,52318,-0.229840,10.800000,89.200000
06021,4476,3101,377,12079,28393,0.157644,0.109217,0.013278,0.425422,4271,15.400000,47365,-0.700080,40.900000,59.100000
06023,25189,22728,2018,16354,135558,0.185817,0.167663,0.014887,0.120642,27002,20.300000,49471,-0.268400,29.800000,70.200000
06025,24137,17771,6009,154088,181215,0.133195,0.098066,0.033160,0.850305,37014,21.400000,46633,-0.218720,17.400000,82.600000
06027,4228,3635,219,4230,18039,0.234381,0.201508,0.012140,0.234492,2172,12.300000,53793,-0.645190,46.400000,53.600000
06029,101155,159243,56282,491545,900202,0.112369,0.176897,0.062522,0.546039,177021,20.500000,51586,-0.216710,10.200000,89.800000
06031,16028,29293,11417,84514,152940,0.104799,0.191533,0.074650,0.552596,25481,18.800000,58255,-0.212810,10.900000,89.100000
06033,14849,8338,1351,14171,64386,0.230625,0.129500,0.020983,0.220094,11689,18.400000,45086,-0.532800,33.100000,66.900000
06035,4738,5833,2569,5910,30573,0.154973,0.190789,0.084028,0.193308,3653,15.800000,57705,-0.324760,70.500000,29.500000
06037,1413753,2940798,899166,4881970,10039107,0.140825,0.292934,0.089566,0.486295,1409155,14.200000,67986,-0.085170,0.600000,99.400000
06039,22573,22144,6555,92483,157327,0.143478,0.140751,0.041665,0.587839,30201,20.200000,53632,-0.371050,32.900000,67.100000
06041,59404,38005,7355,42160,258826,0.229513,0.146836,0.028417,0.162889,16742,6.600000,122933,-0.357720,6.500000,93.500000
06043,4974,1839,227,2073,17203,0.289136,0.106900,0.013195,0.120502,2569,14.900000,51402,-0.645420,100.000000,0.000000
06045,20025,12093,986,22379,86749,0.230838,0.139402,0.011366,0.257974,15140,17.500000,51386,-0.558230,45.200000,54.800000
06047,31636,49535,10937,169442,277680,0.113930,0.178389,0.039387,0.610206,56863,21.200000,56169,-0.269240,14.300000,85.700000
06049,2431,1043,127,1291,8841,0.274969,0.117973,0.014365,0.146024,1631,19.100000,45227,-0.791730,70.000000,30.000000
06051,2330,1425,118,3875,14444,0.161313,0.098657,0.008169,0.268277,1312,9.300000,66499,-0.696660,45.800000,54.200000
06053,60731,74506,14970,257721,434061,0.139914,0.171649,0.034488,0.593744,55614,13.300000,69665,-0.218070,9.800000,90.200000
06055,27157,22545,3388,47660,137744,0.197156,0.163673,0.024596,0.346004,11829,8.800000,85624,-0.395300,13.400000,86.600000
06057,28306,6704,631,9732,99755,0.283755,0.067205,0.006325,0.097559,10171,10.300000,66681,-0.296480,42.100000,57.900000
06059,485568,916987,68041,1081091,3175692,0.152901,0.288752,0.021426,0.340427,330559,10.500000,89373,-0.107300,0.100000,99.900000
06061,79390,64041,7752,57381,398329,0.199308,0.160774,0.019461,0.144054,27596,7.100000,89175,-0.212740,13.800000,86.200000
06063,5437,1782,202,1750,18807,0.289094,0.094752,0.010741,0.093050,2317,12.500000,55079,-0.574010,74.000000,26.000000
06065,365942,504299,179596,1236032,2470546,0.148122,0.204125,0.072695,0.500307,307511,12.700000,66793,-0.188620,4.600000,95.400000
06067,224882,578094,168581,366764,1552058,0.144893,0.372469,0.108618,0.236308,217138,14.300000,69475,-0.161870,2.100000,97.900000
06069,8252,7939,1033,38214,62808,0.131385,0.126401,0.016447,0.608426,5294,8.600000,80063,-0.474290,24.000000,76.000000
06071,260520,511109,204454,1186808,2180085,0.119500,0.234445,0.093783,0.544386,317514,14.900000,63310,-0.172030,4.700000,95.300000
06073,484452,820942,184518,1140033,3338330,0.145118,0.245914,0.055273,0.341498,372148,11.500000,78777,-0.152880,3.300000,96.700000
06075,141770,416263,49015,134309,881549,0.160819,0.472195,0.055601,0.152356,87596,10.100000,110601,-0.165080,0.000000,100.000000
06077,99781,258598,63247,320334,762148,0.130921,0.339302,0.082985,0.420304,105351,14.300000,63567,-0.198660,8.500000,91.500000
06079,59051,31689,5726,64860,283111,0.208579,0.111931,0.020225,0.229097,34200,12.700000,70626,-0.244050,16.600000,83.400000
06081,126877,310523,21219,183978,766573,0.165512,0.405079,0.027680,0.240001,51830,6.800000,122930,-0.205860,1.900000,98.100000
06083,70125,65321,10897,205535,446499,0.157055,0.146296,0.024405,0.460326,54029,12.600000,75646,-0.254600,5.000000,95.000000
