fips,65yrs,minority,black,hispanic,population,perc_65yrs,perc_minority,perc_black,perc_hispanic,poverty,perc_poverty,income,risk_flu,perc_rural_pop,perc_urban_pop
01001,8924,13262,11237,1671,55869,0.159731,0.237377,0.201131,0.029909,7587,13.800000,59338,-0.410250,42.000000,58.000000
01003,46830,28036,19593,10534,223234,0.209780,0.125590,0.087769,0.047188,21069,9.800000,57588,-0.347900,42.300000,57.700000
01005,4861,12552,11906,1117,24686,0.196913,0.508466,0.482298,0.045248,6788,30.900000,34382,-0.536470,67.800000,32.200000
01007,3733,5203,4763,623,22394,0.166696,0.232339,0.212691,0.027820,4400,21.800000,46064,-0.533130,68.400000,31.600000
01009,10814,2414,978,5582,57826,0.187009,0.041746,0.016913,0.096531,7527,13.200000,50412,-0.494060,90.000000,10.000000
01011,1711,7412,7097,864,10101,0.169389,0.733789,0.702604,0.085536,3610,42.500000,29267,-0.684630,51.400000,48.600000
01013,4049,9321,8747,289,19448,0.208196,0.479278,0.449763,0.014860,4731,24.500000,37365,-0.597530,71.200000,28.800000
01015,20547,28283,24213,4614,113605,0.180864,0.248959,0.213133,0.040614,21719,19.500000,45400,-0.364240,33.700000,66.300000
01017,6715,14284,13365,871,33254,0.201931,0.429542,0.401907,0.026192,6181,18.700000,39917,-0.584810,49.100000,50.900000
01019,6164,1787,1073,449,26196,0.235303,0.068217,0.040960,0.017140,4180,16.300000,42132,-0.553160,85.700000,14.300000
01021,7600,5751,4596,3636,44428,0.171063,0.129445,0.103448,0.081840,7542,17.300000,47547,-0.554560,86.700000,13.300000
01023,2969,5398,5255,128,12589,0.235841,0.428787,0.417428,0.010168,2806,22.100000,39907,-0.518240,100.000000,0.000000
01025,4843,11104,10635,310,23622,0.205021,0.470070,0.450216,0.013123,5381,22.800000,40741,-0.577280,76.000000,24.000000
01027,2785,2220,1824,435,13235,0.210427,0.167737,0.137816,0.032867,2285,17.600000,39201,-0.700270,100.000000,0.000000
01029,3008,734,424,387,14910,0.201744,0.049229,0.028437,0.025956,2356,16.000000,46495,-0.595740,100.000000,0.000000
01031,9031,12673,9216,4171,52342,0.172538,0.242119,0.176073,0.079687,7053,13.800000,55122,-0.489920,47.200000,52.800000
01033,11065,10801,8959,1789,55241,0.200304,0.195525,0.162180,0.032385,7459,13.800000,49055,-0.454810,43.900000,56.100000
01035,2832,5822,5560,277,12067,0.234690,0.482473,0.460761,0.022955,2979,24.400000,32613,-0.677920,80.900000,19.100000
01037,2568,3545,3294,280,10663,0.240833,0.332458,0.308919,0.026259,1973,18.900000,42423,-0.670810,100.000000,0.000000
01039,7920,5738,4638,687,37049,0.213771,0.154876,0.125186,0.018543,7239,19.900000,40203,-0.561450,69.700000,30.300000
01041,2671,3833,3289,333,13772,0.193944,0.278318,0.238818,0.024179,2661,19.500000,39057,-0.646350,100.000000,0.000000
01043,15735,3580,1156,3752,83768,0.187840,0.042737,0.013800,0.044790,11925,14.500000,45796,-0.354760,73.200000,26.800000
01045,8502,12899,10314,3450,49172,0.172903,0.262324,0.209754,0.070162,7743,16.200000,45309,-0.537700,50.900000,49.100000
01047,7021,26937,26300,429,37196,0.188757,0.724191,0.707065,0.011533,11841,31.400000,34035,-0.529550,45.600000,54.400000
01049,12601,5210,1340,10774,71513,0.176206,0.072854,0.018738,0.150658,14975,21.300000,39491,-0.439680,90.100000,9.900000
01051,12657,19748,17179,2563,81209,0.155857,0.243175,0.211541,0.031561,8559,11.200000,60367,-0.312740,54.200000,45.800000
01053,6691,13818,11450,952,36633,0.182650,0.377201,0.312560,0.025987,8022,23.600000,38418,-0.510480,63.500000,36.500000
01055,19796,19767,16102,4230,102268,0.193570,0.193286,0.157449,0.041362,17509,17.500000,44903,-0.310040,37.500000,62.500000
01057,3545,2322,1901,335,16302,0.217458,0.142437,0.116611,0.020550,3801,23.500000,39254,-0.622460,80.200000,19.800000
01059,5374,2605,1373,5606,31362,0.171354,0.083062,0.043779,0.178751,5939,19.200000,39388,-0.578690,70.400000,29.600000
01061,5420,3376,2445,1095,26271,0.206311,0.128507,0.093068,0.041681,5537,21.300000,37823,-0.476850,89.600000,10.400000
01063,1890,6611,6482,139,8111,0.233017,0.815066,0.799162,0.017137,2459,30.100000,28524,-0.760790,100.000000,0.000000
01065,2885,8688,8500,209,14651,0.196915,0.592997,0.580165,0.014265,3705,25.600000,34724,-0.658790,89.200000,10.800000
01067,4031,4890,4454,463,17205,0.234292,0.284220,0.258878,0.026911,3037,17.900000,46027,-0.581900,87.800000,12.200000
01069,19184,33010,28976,3631,105882,0.181183,0.311762,0.273663,0.034293,17032,16.500000,47993,-0.402840,33.800000,66.200000
01071,10591,4453,1803,1584,51626,0.205149,0.086255,0.034924,0.030682,10046,19.700000,41929,-0.505280,77.000000,23.000000
01073,107329,309057,286261,26873,658573,0.162972,0.469283,0.434669,0.040805,103604,16.100000,55013,-0.185620,9.800000,90.200000
01075,3060,1722,1426,263,13805,0.221659,0.124737,0.103296,0.019051,2374,17.400000,40936,-0.645740,100.000000,0.000000
01077,19007,12096,9289,2652,92729,0.204974,0.130445,0.100174,0.028599,12645,14.000000,48707,-0.457130,49.300000,50.700000
01079,6287,7167,3582,779,32924,0.190955,0.217683,0.108796,0.023661,6297,19.300000,43909,-0.479580,91.300000,8.700000
01081,20412,48131,37738,6091,164542,0.124053,0.292515,0.229352,0.037018,30075,19.000000,48937,-0.459590,27.400000,72.600000
01083,15081,18794,13762,6149,98915,0.152464,0.190002,0.139130,0.062164,10633,11.400000,64863,-0.375230,57.600000,42.400000
01085,1921,7199,7043,181,9726,0.197512,0.740181,0.724141,0.018610,2474,25.100000,33973,-0.702060,100.000000,0.000000
01087,3785,14938,14522,343,18068,0.209486,0.826766,0.803741,0.018984,5031,30.200000,32495,-0.657550,55.500000,44.500000
01089,57136,116081,92709,19352,372909,0.153217,0.311285,0.248610,0.051895,42667,11.900000,63755,-0.302720,16.400000,83.600000
01091,3749,10070,9738,528,18863,0.198749,0.533849,0.516249,0.027991,4499,24.000000,37733,-0.518120,69.300000,30.700000
